"Type","Date","Set Time","Title","Amount","Currency","Exchange Rate","Category Group Name","Category","Account","Notes","Labels","Status"
"Expense","2016-12-31 07:00:51","07:00","Modra Pyramida","-25.00","CZK","1.0000000000","Bankovni operace - vydaje","Poplatek za oznameni","KB - Stavební spoření - úvěr 2","","","Reconciled"
"Expense","2016-12-31 07:00:51","07:00","Stat","-1.32","CZK","1.0000000000","Dane a clo","Dan z uroku z vkladu","KB - Stavební spoření - úvěr 2","","","Reconciled"
"Income","2016-12-31 07:00:51","07:00","Modra Pyramida","8.78","CZK","1.0000000000","Bankovni operace - prijmy","Urok","KB - Stavební spoření - úvěr 2","Urok z vkladu","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Albert","-200.00","CZK","1.0000000000","Nakup","Potraviny","Stravenky","","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Fastfood - no name","-160.00","CZK","1.0000000000","Obcerstveni","Fastfood","CZK","","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Komercni Banka","-159.00","CZK","1.0000000000","Bankovni operace - vydaje","Poplatek za vyber z bankomatu","KB - Personal - účet","","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Albert","-129.00","CZK","1.0000000000","Nakup","Drogerie, Hyg. potreby","CZK","","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Komercni Banka","-68.00","CZK","1.0000000000","Bankovni operace - vydaje","Poplatek za vedeni uctu","KB - Personal - účet","","","Reconciled"
"Expense","2016-12-31 00:00:00","00:00","Komercni Banka","-39.00","CZK","1.0000000000","Bankovni operace - vydaje","Poplatek za transakce","KB - Personal - účet","","","Reconciled"
"Transfer","2016-12-30 00:00:00","00:00","","-500.00","CZK","1.0000000000","(Transfer)","(Transfer)","KB - Personal - účet","","","Reconciled"
"Transfer","2016-12-30 00:00:00","00:00","","500.00","CZK","1.0000000000","(Transfer)","(Transfer)","CZK","","","Reconciled"
"Transfer","2016-12-30 00:00:00","00:00","","-500.00","CZK","1.0000000000","(Transfer)","(Transfer)","KB - Personal - účet","","","Reconciled"
"Transfer","2016-12-30 00:00:00","00:00","","500.00","CZK","1.0000000000","(Transfer)","(Transfer)","CZK","","","Reconciled"
"Expense","2016-12-30 00:00:00","00:00","Hornbach","-314.00","CZK","1.0000000000","Nakup","Bydleni, accesories","KB - Personal - účet","","Byt - Těsná","Reconciled"
"Expense","2016-12-30 00:00:00","00:00","H&M","-300.00","CZK","1.0000000000","Nakup","Obleceni","CZK","","","Reconciled"
"Expense","2016-12-30 00:00:00","00:00","Fitko- Pruvan","-135.00","CZK","1.0000000000","Sport","Fitko","CZK","","","Reconciled"
