Type;Date;Set Time;Title;Amount;Currency;Exchange Rate;Category Group Name;Category;Account;Notes;Labels;Status
Expense;2021-12-31 13:07:37;13:07;Kaufland;-345.07;CZK;1.0000000000;Nakup;Potraviny;AirBank - Společný;;;Reconciled
Expense;2021-12-31 07:00:42;07:00;Komercni Banka;-39.00;CZK;1.0000000000;Bankovni operace - vydaje;Poplatek za vedeni uctu;KB - Personal - účet;;;Reconciled
Expense;2021-12-31 07:00:09;07:00;Stat;-30.31;CZK;1.0000000000;Dane a clo;Dan z uroku z vkladu;KB - Stavební spoření - úvěr 2;;;Reconciled
Income;2021-12-31 07:00:09;07:00;Stat;17.16;CZK;1.0000000000;Bankovni operace - prijmy;Urok;KB - Stavební spoření - úvěr 2;Urok ze statni podpory;;Reconciled
Income;2021-12-31 07:00:09;07:00;Modra Pyramida;202.08;CZK;1.0000000000;Bankovni operace - prijmy;Urok;KB - Stavební spoření - úvěr 2;Urok z vkladu;;Reconciled
Expense;2021-12-31 07:00:09;07:00;Stat;-2.57;CZK;1.0000000000;Dane a clo;Dan z uroku ze statni podpory;KB - Stavební spoření - úvěr 2;;;Reconciled
Income;2021-12-30 14:25:11;14:25;Modra Pyramida;50.00;CZK;1.0000000000;Others;Pujcky - vraceni;KB - Personal - účet;;Byt - Těsná Půjčky;Cleared
Expense;2021-12-30 12:21:25;12:21;Eatology;-110.00;CZK;1.0000000000;Prace;Obed;KB - Personal - účet;;;Cleared
Expense;2021-12-30 10:13:58;10:13;Hornbach;-104.00;CZK;1.0000000000;Prace;Svacina;CZK;;;Reconciled
Expense;2021-12-30 08:28:40;08:28;Brno;-15.00;CZK;1.0000000000;Sluzby;WC;CZK;;;Reconciled
Expense;2021-12-30 07:47:05;07:47;IDS JMK;-27.00;CZK;1.0000000000;Doprava;Vlak;CZK;;;Reconciled
Expense;2021-12-30 07:00:30;07:00;Google;-2.19;EUR;0.0390374153;Subscription;Subscription;KB - Personal - účet;Adobe Lightroom;;Reconciled
Expense;2021-12-29 16:31:55;16:31;IDS JMK;-27.00;CZK;1.0000000000;Doprava;Vlak;CZK;;;Reconciled
Transfer;2021-12-29 15:46:17;15:46;Transfer;-500.00;CZK;1.0000000000;(Transfer);(Transfer);KB - Personal - účet;;;Cleared
Transfer;2021-12-29 15:46:17;15:46;Transfer;500.00;CZK;1.0000000000;(Transfer);(Transfer);CZK;;;Cleared
Expense;2021-12-29 14:16:56;14:16;Modra Pyramida;-50.00;CZK;1.0000000000;Financni sluzby;Pujcky - pujceni;KB - Personal - účet;;Byt - Těsná Půjčky;Cleared
Expense;2021-12-29 11:18:04;11:18;Hornbach;-235.00;CZK;1.0000000000;Nakup;Bydleni, accesories;AirBank - Společný;Kolecka pro sedak sedacky;Byt - Těsná;Reconciled
Expense;2021-12-29 10:21:44;10:21;Billa;-53.70;CZK;1.0000000000;Nakup;Drogerie, Hyg. potreby;AirBank - Společný;[{}];;Reconciled
Expense;2021-12-29 10:21:44;10:21;Billa;-399.22;CZK;1.0000000000;Nakup;Potraviny;AirBank - Společný;[{}];;Reconciled
Expense;2021-12-29 07:42:17;07:42;Billa;-79.90;CZK;1.0000000000;Prace;Obed;KB - Personal - účet;[{}];;Cleared
Expense;2021-12-29 07:42:17;07:42;Billa;-29.70;CZK;1.0000000000;Prace;Svacina;KB - Personal - účet;[{}];;Cleared
Expense;2021-12-28 19:15:04;19:15;DobreSny.cz;-2046.00;CZK;1.0000000000;Nakup;Bydleni, accesories;AirBank - Společný;Matrace + chladiva podlozka;Sebastien Vaško;Reconciled
Transfer;2021-12-28 19:14:36;19:14;Transfer;-2046.00;CZK;1.0000000000;(Transfer);(Transfer);AirBank - Spořící;;;Reconciled
Transfer;2021-12-28 19:14:36;19:14;Transfer;2046.00;CZK;1.0000000000;(Transfer);(Transfer);AirBank - Společný;;;Reconciled
Expense;2021-12-28 16:54:46;16:54;Modra Pyramida;-183.00;CZK;1.0000000000;Bankovni operace - vydaje;Stavebko - umor;KB - Personal - účet;;Byt - Těsná;Cleared
Income;2021-12-28 16:54:21;16:54;Modra Pyramida;183.00;CZK;1.0000000000;Technical;Stavebko - umor;KB - Stavební spoření - úvěr 1;Doplatek - Doplatek;;Reconciled
Expense;2021-12-28 16:41:52;16:41;Modra Pyramida;-4000.00;CZK;1.0000000000;Bankovni operace - vydaje;Stavebko - umor;KB - Personal - účet;;Byt - Těsná;Cleared
Income;2021-12-28 16:40:32;16:40;Modra Pyramida;4000.00;CZK;1.0000000000;Technical;Stavebko - umor;KB - Stavební spoření - úvěr 1;Doplatek - Doplatek;;Reconciled
Expense;2021-12-28 15:45:34;15:45;Microsoft;-85.00;CZK;1.0000000000;Nakup;Programy;KB - Personal - účet;Windows 10 - Filesv2;;Cleared
